연번,년도,학기,학년,분반,개설학부,교과목코드,교과구분,학점부여,교과목명,학점,담당교원,요일/시간
99,2015,1,2,2,인문예술학부,HA2601,인문계열교과선택,PF,생활음악,2,장진,화9|화10
100,2015,1,3,1,수리정보과학부,MC3106,자연계열교과선택,일반,선형대수,3,김용덕,월7|화1|금6
101,2015,1,1,1,인문예술학부,HA1204,인문계열교과필수,일반,세계사1,2,박인숙,화6|화7
102,2015,1,2,1,인문예술학부,HA1203,인문계열교과필수,일반,세계사의이해,3,박인숙,월3|수6|목8
103,2015,1,2,2,인문예술학부,HA1203,인문계열교과필수,일반,세계사의이해,3,박인숙,월10|수4|금3
104,2015,1,2,3,인문예술학부,HA1203,인문계열교과필수,일반,세계사의이해,3,박인숙,월7|화1|금6
105,2015,1,2,4,인문예술학부,HA1203,인문계열교과필수,일반,세계사의이해,3,박인숙,화3|수8|목2
106,2015,1,3,1,화학생물학부,CB422,자연계열교과선택,일반,세포생물학,3,KAIST 교수 강의지원,수8|수9|수10
107,2015,1,1,1,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,김문수,월2|월3|수6|목8|금8
108,2015,1,1,2,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,김문수,월8|화6|화7|목1|금4
109,2015,1,1,3,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,박윤주,월4|수2|수3|목9|금1
110,2015,1,1,4,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,김병옥,월8|화4|수1|목6|목7
111,2015,1,1,5,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,김문수,월9|화3|수4|금2|금3
112,2015,1,1,6,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,차성훈,월6|월7|화1|목9|금6
113,2015,1,1,7,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,차성훈,월1|수7|수8|목4|금8
114,2015,1,1,8,수리정보과학부,MC1101,자연계열교과필수,일반,수학1,5,김병옥,월9|화2|목2|목3|금7
115,2015,1,2,1,수리정보과학부,MC1102,자연계열교과필수,일반,수학2,5,Jerome Tambour,월4|화6|화7|목1|금4
116,2015,1,2,1,수리정보과학부,MC2101,자연계열교과선택,일반,수학적문제해결기법,3,전영철,화3|수8|목2
117,2015,1,2,2,수리정보과학부,MC2101,자연계열교과선택,일반,수학적문제해결기법,3,전영철,월1|화8|목4
118,2015,1,3,1,수리정보과학부,MC513,자연계열교과선택,일반,수학특강(논리및집합),3,정명주,월10|수4|금3
119,2015,1,1,1,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,김영미,월3|수6|목8
120,2015,1,1,2,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,Christopher Callaghan,화6|목1|금4
121,2015,1,1,3,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,김영미,월4|수2|금1
122,2015,1,1,4,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,김영미,화4|수1|목7
123,2015,1,1,5,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,김영미,화3|수4|금2
124,2015,1,1,6,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,Christopher Callaghan,월6|화1|금6
125,2015,1,1,7,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,Christopher Callaghan,월1|수8|목4
126,2015,1,1,8,인문예술학부,HA1301,인문계열교과필수,일반,영어1,3,Christopher Callaghan,화2|목3|금7
127,2015,1,2,1,인문예술학부,HA1304,인문계열교과필수,일반,영어독해와작문,3,Steven Feldman,화6|목1|금4
128,2015,1,2,2,인문예술학부,HA1304,인문계열교과필수,일반,영어독해와작문,3,Steven Feldman,화3|수8|목2
129,2015,1,2,3,인문예술학부,HA1304,인문계열교과필수,일반,영어독해와작문,3,Steven Feldman,월6|화2|금2
130,2015,1,2,4,인문예술학부,HA1304,인문계열교과필수,일반,영어독해와작문,3,Steven Feldman,월1|화8|목4
131,2015,1,2,1,인문예술학부,HA1303,인문계열교과필수,일반,영어청해와회화,3,Anthony Lee Wilborn,월3|수6|목8
132,2015,1,2,2,인문예술학부,HA1303,인문계열교과필수,일반,영어청해와회화,3,Anthony Lee Wilborn,화12|수7|목3
133,2015,1,2,3,인문예술학부,HA1303,인문계열교과필수,일반,영어청해와회화,3,Anthony Lee Wilborn,월6|화2|금2
134,2015,1,2,4,인문예술학부,HA1303,인문계열교과필수,일반,영어청해와회화,3,Anthony Lee Wilborn,월1|화8|목4
135,2015,1,2,5,인문예술학부,HA1303,인문계열교과필수,일반,영어청해와회화,3,Anthony Lee Wilborn,월4|수3|금1
136,2015,1,3,1,물리지구과학부,PE4202,자연계열교과선택,일반,우주과학및실습,3,박선미,월6|화2|금2
137,2015,1,1,1,인문예술학부,HA1601,인문계열교과필수,PF,음악,2,양리라,수3|금1
138,2015,1,1,2,인문예술학부,HA1601,인문계열교과필수,PF,음악,2,양리라,수1|목6
139,2015,1,1,3,인문예술학부,HA1601,인문계열교과필수,PF,음악,2,양리라,월7|금6
140,2015,1,1,4,인문예술학부,HA1601,인문계열교과필수,PF,음악,2,양리라,화2|목3
141,2015,1,3,1,수리정보과학부,MC3202,자연계열교과선택,일반,이산구조,3,윤상현,화3|수8|목2
142,2015,1,2,1,물리지구과학부,PE3101,자연계열교과선택,일반,일반물리학1,4,김영환,월4|수2|수3|금1
143,2015,1,2,1,물리지구과학부,EPE3101,자연계열교과선택,일반,일반물리학1(EC),4,이인숙,월2|월3|수6|목8
144,2015,1,2,2,물리지구과학부,EPE3101,자연계열교과선택,일반,일반물리학1(EC),4,Salavat M. Ishikaev,화6|화7|목1|금4
145,2015,1,2,3,물리지구과학부,EPE3101,자연계열교과선택,일반,일반물리학1(EC),4,이인숙,화4|수1|목6|목7
146,2015,1,3,1,물리지구과학부,EPE3103,자연계열교과선택,일반,일반물리학2(EC),4,Salavat M. Ishikaev,월4|수2|수3|금1
147,2015,1,3,2,물리지구과학부,EPE3103,자연계열교과선택,일반,일반물리학2(EC),4,Salavat M. Ishikaev,화4|수1|목6|목7
148,2015,1,2,1,물리지구과학부,PE3102,자연계열교과선택,일반,일반물리학실험1,1,전병억,목9|목10
149,2015,1,2,2,물리지구과학부,PE3102,자연계열교과선택,일반,일반물리학실험1,1,김경대,목12|목13
150,2015,1,2,3,물리지구과학부,PE3102,자연계열교과선택,일반,일반물리학실험1,1,전병억,금7|금8
151,2015,1,3,1,물리지구과학부,PE3104,자연계열교과선택,일반,일반물리학실험2,1,전병억,월8|월9
152,2015,1,3,2,물리지구과학부,PE3104,자연계열교과선택,일반,일반물리학실험2,1,전병억,목12|목13
153,2015,1,2,1,화학생물학부,CB3201,자연계열교과선택,일반,일반생물학1,4,안정훈,월4|수2|수3|금1
154,2015,1,2,1,화학생물학부,ECB3201,자연계열교과선택,일반,일반생물학1(EC),4,안정훈,월2|월3|수6|목8
155,2015,1,2,2,화학생물학부,ECB3201,자연계열교과선택,일반,일반생물학1(EC),4,안정훈,화6|화7|목1|금4
156,2015,1,2,1,화학생물학부,CB3202,자연계열교과선택,일반,일반생물학실험,1,강광일,목12|목13
157,2015,1,2,2,화학생물학부,CB3202,자연계열교과선택,일반,일반생물학실험,1,권창섭,금7|금8
158,2015,1,2,1,물리지구과학부,PE3203,자연계열교과선택,일반,일반지구과학,3,최현정,월10|수4|금3
159,2015,1,2,2,물리지구과학부,PE3203,자연계열교과선택,일반,일반지구과학,3,송인옥,화3|수8|목2
160,2015,1,2,3,물리지구과학부,PE3203,자연계열교과선택,일반,일반지구과학,3,최현정,월6|화2|금2
161,2015,1,2,1,물리지구과학부,PE3204,자연계열교과선택,일반,일반지구과학실험,1,김은지,목9|목10
162,2015,1,2,2,물리지구과학부,PE3204,자연계열교과선택,일반,일반지구과학실험,1,김은지,목12|목13
163,2015,1,2,3,물리지구과학부,PE3204,자연계열교과선택,일반,일반지구과학실험,1,김은지,금7|금8
164,2015,1,2,1,물리지구과학부,PE3201,자연계열교과선택,일반,일반천문학,3,박선미,월4|수3|금1
165,2015,1,2,2,물리지구과학부,PE3201,자연계열교과선택,일반,일반천문학,3,박선미,화12|수7|목3
166,2015,1,2,1,물리지구과학부,PE3202,자연계열교과선택,일반,일반천문학실험,1,박선미,월8|월9
167,2015,1,2,2,물리지구과학부,PE3202,자연계열교과선택,일반,일반천문학실험,1,송인옥,화9|화10
168,2015,1,2,1,화학생물학부,CB3101,자연계열교과선택,일반,일반화학1,4,한상준,월2|월3|수6|목8
169,2015,1,2,2,화학생물학부,CB3101,자연계열교과선택,일반,일반화학1,4,한상준,화6|화7|목1|금4
170,2015,1,2,3,화학생물학부,CB3101,자연계열교과선택,일반,일반화학1,4,김원전,화4|수1|목6|목7
171,2015,1,3,1,화학생물학부,CB3103,자연계열교과선택,일반,일반화학2,4,천만석,월2|월3|수6|목8
172,2015,1,2,1,화학생물학부,CB3102,자연계열교과선택,일반,일반화학실험1,1,Naresh Tarte,월8|월9
173,2015,1,2,2,화학생물학부,CB3102,자연계열교과선택,일반,일반화학실험1,1,Naresh Tarte,화9|화10
174,2015,1,2,3,화학생물학부,CB3102,자연계열교과선택,일반,일반화학실험1,1,Naresh Tarte,목9|목10
175,2015,1,3,1,화학생물학부,CB3104,자연계열교과선택,일반,일반화학실험2,1,오진호,금7|금8
176,2015,1,1,1,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김용주,월2|월3
177,2015,1,2,1,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,윤상현,목9|목10
178,2015,1,1,2,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김용주,화6|화7
179,2015,1,1,3,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,윤상현,수2|수3
180,2015,1,1,4,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,윤상현,목6|목7
181,2015,1,1,5,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김용주,금2|금3
182,2015,1,1,6,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김호숙,월6|월7
183,2015,1,1,7,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김호숙,수7|수8
184,2015,1,1,8,수리정보과학부,MC1201,자연계열교과필수,일반,정보과학1,2,김호숙,목2|목3
185,2015,1,2,1,수리정보과학부,MC2201,자연계열교과선택,일반,정보과학3,3,정현우,월7|화1|금6
186,2015,1,2,2,수리정보과학부,MC2201,자연계열교과선택,일반,정보과학3,3,윤상현,월6|화2|금2
187,2015,1,2,3,수리정보과학부,MC2201,자연계열교과선택,일반,정보과학3,3,정현우,월1|화8|목4
188,2015,1,3,1,인문예술학부,HA222,인문계열교과선택,일반,정치경제학,3,김상현,화12|수7|목3
189,2015,1,2,1,인문예술학부,HA2202,인문계열교과선택,일반,정치와경제,3,한형근,화6|목1|금4
190,2015,1,2,2,인문예술학부,HA2202,인문계열교과선택,일반,정치와경제,3,김상현,월4|수2|금1
191,2015,1,2,3,인문예술학부,HA2202,인문계열교과선택,일반,정치와경제,3,김상현,월10|수4|금3
192,2015,1,2,4,인문예술학부,HA2202,인문계열교과선택,일반,정치와경제,3,한형근,월7|화1|금6
193,2015,1,2,1,물리지구과학부,PE2202,자연계열교과선택,일반,지구환경과학,3,최현정,월7|화1|금6
194,2015,1,2,2,물리지구과학부,PE2202,자연계열교과선택,일반,지구환경과학,3,최현정,화3|수8|목2
195,2015,1,2,3,물리지구과학부,PE2202,자연계열교과선택,일반,지구환경과학,3,박순영,화12|화13|화14
196,2015,1,2,1,물리지구과학부,PE2201,자연계열교과선택,일반,천체관측의기초,3,송인옥,월10|수4|금3
197,2015,1,2,2,물리지구과학부,PE2201,자연계열교과선택,일반,천체관측의기초,3,송인옥,월6|화2|금2
198,2015,1,2,3,물리지구과학부,PE2201,자연계열교과선택,일반,천체관측의기초,3,송인옥,월1|화8|목4
199,2015,1,3,1,인문예술학부,HA221,인문계열교과선택,일반,철학,3,하동윤,월3|수6|목8
200,2015,1,3,2,인문예술학부,HA221,인문계열교과선택,일반,철학,3,하동윤,화12|수7|목3
